211,M-W,Brightman,ELIOT,414,10577,F01,ANTH,04:30,03:10PM,Introduction to Anthropology,1.0
344,T-Th,Makley,VOLLUM,120,20573,S01,ANTH,11:50,10:30AM,Sex and Gender,1.0
431,T,Kaplan,PHYSIC,240A,10624,F01,BIOL,08:00,06:10PM,Field Biology of Amphibians,0.5
431,"","","",Mellies RESCHEDULED TO OTHER SEMESTER,10626,F03,BIOL,"","",Bacterial Pathogenesis,0.5
431,Th,Yezerinac,BIOL,200A,20626,S04,BIOL,08:00,06:10PM,Seminar in Biology,0.5
101,M-W-F,Geselbracht,VOLLUM,VLH,10543,F,CHEM,11:50,11:00AM,MolecularStructure and Properties,1.0
101,M,Geselbracht,CHEM,301,10544,F01,CHEM,02:00,01:10PM,MolecularStructure and Properties,0.0
101,M,Geselbracht,CHEM,301,10545,F02,CHEM,03:00,02:10PM,MolecularStructure and Properties,0.0
101,M,Geselbracht,CHEM,301,10546,F03,CHEM,04:00,03:10PM,MolecularStructure and Properties,0.0
101,T,Geselbracht,PHYSIC,123,10789,F08,CHEM,11:50,11:00AM,MolecularStructure and Properties,0.0
101,T,Geselbracht,CHEM,301,10547,F04,CHEM,02:00,01:10PM,MolecularStructure and Properties,0.0
101,T,Geselbracht,CHEM,301,10548,F05,CHEM,03:00,02:10PM,MolecularStructure and Properties,0.0
344,T-Th,Makley,VOLLUM,110,20575,S02,ANTH,02:30,01:10PM,Sex and Gender,1.0
101,T,Geselbracht,CHEM,301,10549,F06,CHEM,04:00,03:10PM,MolecularStructure and Properties,0.0
101,T,Geselbracht,CHEM,301,10550,F07,CHEM,05:00,04:10PM,MolecularStructure and Properties,0.0
101,M,Geselbracht,CHEM,308,10551,FL1,CHEM,04:00,01:10PM,MolecularStructure and Properties,0.0
101,T,Geselbracht,CHEM,308,10555,FL5,CHEM,11:50,09:00AM,MolecularStructure and Properties,0.0
101,T,Geselbracht,CHEM,308,10552,FL2,CHEM,04:00,01:10PM,MolecularStructure and Properties,0.0
101,W,Geselbracht,CHEM,308,10553,FL3,CHEM,04:00,01:10PM,MolecularStructure and Properties,0.0
101,W,Geselbracht,CHEM,308,10557,FL7,CHEM,09:00,06:10PM,MolecularStructure and Properties,0.0
101,Th,Geselbracht,CHEM,308,10556,FL6,CHEM,11:50,09:00AM,MolecularStructure and Properties,0.0
101,Th,Geselbracht,CHEM,308,10554,FL4,CHEM,04:00,01:10PM,MolecularStructure and Properties,0.0
101,F,Geselbracht,CHEM,308,10558,FL8,CHEM,05:00,02:10PM,MolecularStructure and Properties,0.0
348,T,Haviland,ELIOT,419,20483,S,ANTH,09:00,06:10PM,Languages the Americas:Mayan,1.0
102,M-W-F,Glasfeld,VOLLUM,VLH,20537,S,CHEM,11:50,11:00AM,Chemical Reactivity,1.0
102,M,Glasfeld,CHEM,301,20538,S01,CHEM,03:00,02:10PM,Chemical Reactivity,0.0
102,M,Glasfeld,CHEM,301,20539,S02,CHEM,04:00,03:10PM,Chemical Reactivity,0.0
102,T,Glasfeld,CHEM,301,20540,S03,CHEM,03:00,02:10PM,Chemical Reactivity,0.0
102,T,Glasfeld,CHEM,301,20541,S04,CHEM,04:00,03:10PM,Chemical Reactivity,0.0
102,T,Glasfeld,PHYSIC,123,20542,S05,CHEM,05:00,04:10PM,Chemical Reactivity,0.0
102,M,Glasfeld,CHEM,308,20543,SL1,CHEM,04:00,01:10PM,Chemical Reactivity,0.0
102,T,Glasfeld,CHEM,308,20544,SL2,CHEM,04:00,01:10PM,Chemical Reactivity,0.0
102,W,Glasfeld,CHEM,308,20545,SL3,CHEM,04:00,01:10PM,Chemical Reactivity,0.0
102,Th,Glasfeld,CHEM,308,20546,SL4,CHEM,04:00,01:10PM,Chemical Reactivity,0.0
352,T-Th,Silverstein,LIB,203,20667,S,ANTH,11:50,10:30AM,Anthropology of Europe,1.0
102,F,Glasfeld,CHEM,308,20547,SL5,CHEM,05:00,02:10PM,Chemical Reactivity,0.0
201,M-W-F,Shusterman,PSYCH,105,10559,F,CHEM,09:50,09:00AM,Organic Chemistry I,1.0
201,Th,Shusterman,PHYSIC,123,10560,F01,CHEM,08:50,08:00AM,Organic Chemistry I,0.0
201,Th,Shusterman,PHYSIC,121,10561,F02,CHEM,09:50,09:00AM,Organic Chemistry I,0.0
201,Th,Shusterman,PHYSIC,123,10562,F03,CHEM,11:50,11:00AM,Organic Chemistry I,0.0
201,Th,Shusterman,PHYSIC,123,10563,F04,CHEM,12:50,12:00PM,Organic Chemistry I,0.0
201,M,Shusterman,CHEM,209,10565,FL1,CHEM,05:00,01:10PM,Organic Chemistry I,0.0
201,T,Shusterman,CHEM,209,10566,FL2,CHEM,05:00,01:10PM,Organic Chemistry I,0.0
201,W,Shusterman,CHEM,209,10567,FL3,CHEM,05:00,01:10PM,Organic Chemistry I,0.0
202,M-W-F,McDougal,PSYCH,105,20548,S,CHEM,09:50,09:00AM,Organic Chemistry II,1.0
357,T-Th,Stasch,VOLLUM,309,20571,S,ANTH,04:00,02:40PM,Prob in IndonesianEthnography,1.0
202,Th,McDougal,PHYSIC,123,20549,S01,CHEM,08:50,08:00AM,Organic Chemistry II,0.0
202,Th,McDougal,PHYSIC,121,20550,S02,CHEM,09:50,09:00AM,Organic Chemistry II,0.0
202,Th,McDougal,PHYSIC,121,20551,S03,CHEM,11:50,11:00AM,Organic Chemistry II,0.0
202,Th,McDougal,PHYSIC,123,20552,S04,CHEM,12:50,12:00PM,Organic Chemistry II,0.0
202,M,McDougal,CHEM,209,20554,SL1,CHEM,05:00,01:10PM,Organic Chemistry II,0.0
202,T,McDougal,CHEM,209,20555,SL2,CHEM,05:00,01:10PM,Organic Chemistry II,0.0
202,W,McDougal,CHEM,209,20556,SL3,CHEM,05:00,01:10PM,Organic Chemistry II,0.0
212,M-W-F,Geselbracht,CHEM,301,20557,S,CHEM,11:50,11:00AM,Intro Inorganic Chemistry,1.0
212,W,Geselbracht,CHEM,214,20559,SL1,CHEM,05:00,02:10PM,Intro Inorganic Chemistry,0.0
212,F,Geselbracht,CHEM,214,20560,SL2,CHEM,05:00,02:10PM,Intro Inorganic Chemistry,0.0
362,T-Th,Makley,VOLLUM,228,10605,F,ANTH,11:50,10:30AM,"Gender and Ethnicity China, Tibet",1.0
225,M-W,Dunne,CHEM,301,10582,F,CHEM,10:50,10:00AM,Environmental Chemistry,0.5
271,T-Th,McClard,CHEM,301,10568,F,CHEM,11:50,10:30AM,Analytical Chemistry,1.0
271,Th,McClard,CHEM,313,10569,FL1,CHEM,05:00,01:10PM,Analytical Chemistry,0.0
271,F,McClard,CHEM,313,10570,FL2,CHEM,05:00,01:10PM,Analytical Chemistry,0.0
316,T,Ahmadi,CHEM,301,20561,S,CHEM,11:50,10:30AM,Physical Chemistry Laboratory,0.5
324,M-W-F,Shusterman,CHEM,301,20563,S,CHEM,10:50,10:00AM,Computational Organic Chem,0.5
332,M-W-F,Ahmadi,CHEM,301,20564,S,CHEM,09:50,09:00AM,Statistical Thermodynamics,1.0
333,M-W-F,Ahmadi,CHEM,301,10571,F,CHEM,09:50,09:00AM,Quantum Mechanics and MolStruct,1.0
334,T-Th,Geselbracht,PSYCH,103,20565,S,CHEM,10:20,09:00AM,Advanced Inorganic Chemistry,0.5
343,M-W-F,McDougal,CHEM,301,10572,F,CHEM,11:50,11:00AM,Adv Synth Organic Chemistry,1.0
368,T-Th,Stasch,VOLLUM,126,20570,S,ANTH,02:30,01:10PM,Myth,1.0
391,T-Th,Glasfeld,CHEM,301,10574,F,CHEM,10:20,09:00AM,Structural Biochemistry,0.5
391,W,Glasfeld,CHEM,301,10576,F02,CHEM,05:00,04:10PM,Structural Biochemistry,0.0
391,T,Glasfeld,PHYSIC,121,10575,F01,CHEM,05:00,04:10PM,Structural Biochemistry,0.0
392,T-Th,McClard,CHEM,301,20566,S,CHEM,10:20,09:00AM,Metabolic Biochemistry,0.5
394,M,McClard,CHEM,301,20567,S,CHEM,07:00,06:10PM,Biochemical Methods,0.5
394,T,McClard,CHEM,313,20568,SL1,CHEM,05:00,01:10PM,Biochemical Methods,0.0
394,W,McClard,CHEM,313,20569,SL2,CHEM,05:00,01:10PM,Biochemical Methods,0.0
110,"","","",Staff M-T-W-Th-F12:00 VOLLUM 120,10377,Y,CHIN,"","",First Year Chinese,1.0
210,"","","",Staff M-T-W-Th-F12:00 ELIOT 123,10118,Y,CHIN,"","",Second Year Chinese,1.0
311,M-W-F,Wu,ELIOT,121,20598,S,CHIN,09:50,09:00AM,Third Year Chinese,1.0
369,M-W,Makley,ELIOT,414,20572,S,ANTH,04:30,03:10PM,Media and Culture Post-MaoChina,1.0
316,M-W-F,Rhew,ELIOT,121,10629,F,CHIN,09:50,09:00AM,Classical Chinese,1.0
321,T-Th,Wu,ELIOT,121,10628,F,CHIN,04:00,02:40PM,"20 Cent Chin Fiction, 1919-49",1.0
326,M-W,Rhew,ELIOT,121,10630,F,CHIN,04:30,03:10PM,Chinese Narrative Tradition,1.0
334,M-W,Rhew,ELIOT,121,20596,S,CHIN,04:30,03:10PM,Yijing: Text and Tradition,1.0
341,T-Th,Wu,ELIOT,121,20601,S,CHIN,04:00,02:40PM,20th Century Chinese Poetry,1.0
363,M-W-F,Englert,VOLLUM,126,20486,S,CLAS,12:50,12:00PM,Greek Tragedy,1.0
373,M-W,Kelly,VOLLUM,120,10489,F,CLAS,04:30,03:10PM,Ancient History: Rome,1.0
374,M-W,Kelly,VOLLUM,120,20488,S,CLAS,04:30,03:10PM,Specl Topics in Roman History,1.0
201,M-W-F,Hillis,PHYSIC,121,20503,S,CRWR,11:50,11:00AM,Intro to Creative Writing,1.0
211,M-W,Williams,PHYSIC,121,10515,F,CRWR,04:30,03:10PM,Intro Poetry Writing,1.0
372,M-W,Brightman,TBA,"",20659,S,ANTH,04:30,03:10PM,Indians and Northrn NativeAmers,1.0
211,M-W,Williams,PHYSIC,121,20504,S,CRWR,04:30,03:10PM,Intro Poetry Writing,1.0
221,M-W-F,Hillis,PHYSIC,121,10516,F,CRWR,11:50,11:00AM,Intro to Fiction Writing,1.0
241,T-Th,Williams,PHYSIC,121,20642,S,CRWR,04:00,02:40PM,Intermediate Poetry: StudioII,1.0
250,W,Hillis,VOLLUM,228,10517,F,CRWR,09:00,06:10PM,Intro to ScreenwritingWrkshop,1.0
331,T,Williams,VOLLUM,234,10518,F,CRWR,10:00,07:10PM,Adv Poet Writng: SequentVoice,1.0
331,M,Williams,VOLLUM,234,20506,S,CRWR,10:00,07:10PM,Adv Poet Writing:NaturalVoice,1.0
332,T-Th,Hillis,ELIOT,317,10519,F,CRWR,07:30,06:10PM,Advanced Fiction Writing,1.0
332,T-Th,Hillis,ELIOT,405,20507,S,CRWR,07:30,06:10PM,Advanced Fiction Writing,1.0
110,M-W,Mann,SPORTS,GYMII,10119,Y,DANC,06:00,04:40PM,Basic Technique,1.0
210,T-Th,Wong,SPORTS,GYMII,10121,Y,DANC,02:30,01:10PM,"Technique, Design and Compostion",1.0
374,T-Th,Silverstein,VOLLUM,120,20672,S,ANTH,10:20,09:00AM,Urban Anthropology,1.0
252,T-Th,Mann,SPORTS,GYMII,20627,S,DANC,06:30,05:10PM,Improvisation,0.5
311,T-Th,Mann,SPORTS,GYMII,10639,F,DANC,06:30,05:10PM,Adv Techniques and CompositionI,1.0
312,T-Th,Wong,SPORTS,GYMII,20655,S,DANC,04:00,02:40PM,Adv Technique and CompositionII,1.0
330,M-W,Wong,ELIOT,126,10631,F,DANC,04:30,03:10PM,Dance Theory and Criticism,1.0
201,M-W-F,Clausing,VOLLUM,116,10324,F01,ECON,10:50,10:00AM,Intro to Economic Analysis,1.0
201,M-W-F,Clausing,VOLLUM,116,10325,F02,ECON,11:50,11:00AM,Intro to Economic Analysis,1.0
201,Th,Clausing,ELIOT,314,10326,FL1,ECON,04:00,03:10PM,Intro to Economic Analysis,0.0
201,Th,Clausing,ELIOT,314,10327,FL2,ECON,05:00,04:10PM,Intro to Economic Analysis,0.0
201,M-W-F,Netusil,VOLLUM,116,20319,S01,ECON,10:50,10:00AM,Intro to Economic Analysis,1.0
201,M-W-F,Netusil,VOLLUM,116,20320,S02,ECON,11:50,11:00AM,Intro to Economic Analysis,1.0
211,T-Th,Makley,VOLLUM,120,10578,F02,ANTH,02:30,01:10PM,Introduction to Anthropology,1.0
378,T,Brightman,ELIOT,414,10583,F,ANTH,10:00,07:10PM,"Nature, Cult and Envirnmentalism",1.0
201,Th,Netusil,ELIOT,314,20321,SL1,ECON,04:00,03:10PM,Intro to Economic Analysis,0.0
201,Th,Netusil,ELIOT,314,20322,SL2,ECON,05:00,04:10PM,Intro to Economic Analysis,0.0
311,M-W-F,Netusil,VOLLUM,120,10584,F,ECON,10:50,10:00AM,Survey of Econometric Methods,1.0
312,M-W-F,Parker,VOLLUM,116,20574,S,ECON,09:50,09:00AM,Theory and Practice Econometrics,1.0
313,M-W-F,Despins,VOLLUM,234,10585,F,ECON,09:50,09:00AM,Microeconomic Theory,1.0
314,M-W-F,Parker,VOLLUM,120,20576,S,ECON,11:50,11:00AM,Macroeconomic Theory,1.0
331,M-W-F,Clausing,VOLLUM,134,20580,S,ECON,02:00,01:10PM,History of Economic Thought,1.0
341,T-Th,Parker,VOLLUM,228,10587,F,ECON,02:30,01:10PM,Monetary and Fiscal Policy,1.0
342,M-W-F,Clausing,VOLLUM,134,10589,F,ECON,02:00,01:10PM,International Macroeconomics,1.0
348,M-W-F,Netusil,VOLLUM,116,20585,S,ECON,03:00,02:10PM,Economics of the PublicSector,1.0
392,T-Th,Stasch,VOLLUM,134,10586,F01,ANTH,02:30,01:10PM,Structuralism and Semiotics,1.0
351,M-W-F,Netusil,VOLLUM,116,10590,F,ECON,03:00,02:10PM,Environment and Nat Resrce Econ,1.0
382,M-W-F,Despins,VOLLUM,234,10591,F,ECON,11:50,11:00AM,Economics of Development,1.0
383,M-W-F,Clausing,VOLLUM,234,20582,S,ECON,10:50,10:00AM,International Trade,1.0
401,M-W-F,Parker,VOLLUM,234,10592,F,ECON,12:50,12:00PM,Seminar: Unemployment,0.5
413,T-Th,Despins,VOLLUM,234,20602,S,ECON,10:20,09:00AM,Economics and Game Theory,1.0
442,T-Th,Despins,VOLLUM,234,20592,S,ECON,11:50,10:30AM,"Econ Envirn, Intl Trade,Devel",1.0
454,M-W-F,Parker,VOLLUM,234,10597,F,ECON,10:50,10:00AM,Economic Growth,1.0
201,M-W,Arnold,VOLLUM,116,10503,F01,ENG,04:30,03:10PM,Intro Narr:Native AmericanLit,1.0
201,M-W-F,Leveen,VOLLUM,309,10774,F02,ENG,02:00,01:10PM,Intro Narr: Telling Lives,1.0
201,M-W-F,Duquette,VOLLUM,110,20508,S,ENG,02:00,01:10PM,Intro Narrative: The Essay,1.0
392,T-Th,Stasch,VOLLUM,134,10593,F02,ANTH,04:00,02:40PM,Structuralism and Semiotics,1.0
205,T-Th,Gillcrist,ELIOT,416,10504,F01,ENG,11:50,10:30AM,Intro Fict:Colonl and LaterNovels,1.0
205,T-Th,King,PSYCH,108,10505,F02,ENG,11:50,10:30AM,Intro Fict:Portraits ofLadies,1.0
205,M-W-F,Baker,VOLLUM,120,20509,S,ENG,02:00,01:10PM,Intro Fict: The Short Story,1.0
211,T-Th,Steinman,VOLLUM,110,10506,F01,ENG,02:30,01:10PM,Intro to Poetry and Poetics,1.0
211,T-Th,Steinman,VOLLUM,116,10507,F02,ENG,04:00,02:40PM,Intro to Poetry and Poetics,1.0
211,T-Th,Stauder,PSYCH,103,20510,S,ENG,02:30,01:10PM,Intro to Poetry and Poetics,1.0
242,M-W-F,Savery,LIB,41,10758,F,ENG,10:50,10:00AM,Intro to Drama: The 1990s,1.0
242,T-Th,Porter,ELIOT,416,20511,S01,ENG,11:50,10:30AM,Intro Drama:Conventn and Inovatn,1.0
242,T-Th,Porter,ELIOT,416,20512,S02,ENG,04:00,02:40PM,Intro Drama:Conventn and Inovatn,1.0
301,T-Th,Sherman,ELIOT,126,10508,F,ENG,11:50,10:30AM,Jun Sem: Epic and Novel,1.0
434,W,Brightman,ELIOT,"",20660,S,ANTH,10:00,07:10PM,Theories of Culture,1.0
302,W,Knapp,VOLLUM,126,20513,S,ENG,10:00,07:10PM,"Jun Sem:Irony, Allegory, Epic",1.0
303,M-W,Arnold,PSYCH,103,20647,S,ENG,04:30,03:10PM,Amer. Studies Seminar: TheEnd,1.0
333,T-Th,Gillcrist,ELIOT,405,20514,S01,ENG,11:50,10:30AM,"Fict:Wolff,Forster,Bloomsbury",1.0
333,T,King,VOLLUM,126,20515,S02,ENG,10:00,07:10PM,Fict: Novel and Theory Mimesis,1.0
338,T-Th,Sherman,ELIOT,126,20516,S,ENG,11:50,10:30AM,Mod Fict:Representing Mothers,1.0
341,M,Baker,VOLLUM,126,10509,F01,ENG,09:00,06:10PM,American Lit: Race in America,1.0
341,M-W,Duquette,ELIOT,405,10510,F02,ENG,04:30,03:10PM,Amer Lit: The James Brothers,1.0
341,Th,Leveen,VOLLUM,110,20677,S,ENG,10:00,07:10PM,American Lit: Speaking ofRace,1.0
356,M-W-F,Savery,LIB,41,10511,F,ENG,11:50,11:00AM,20th Cent African-Amercan Lit,1.0
363,T-Th,Porter,PHYSIC,121,10512,F,ENG,04:00,02:40PM,Love in Shakespeare,1.0
161,M-W,Knutson,ART,DRAW,10458,F01,ART,04:00,01:10PM,Introductory Drawing,0.5
363,M-W-F,Knapp,VOLLUM,126,20517,S,ENG,03:00,02:10PM,Skepticism in Shakespeare,1.0
366,T-Th,Stauder,VOLLUM,118,10752,F,ENG,02:30,01:10PM,Poetry: Pound and H.D.,1.0
384,T-Th,Steinman,VOLLUM,116,20518,S,ENG,04:00,02:40PM,Poetry and History:Contemp Amer,1.0
393,M-W-F,Knapp,LIB,41,10514,F,ENG,03:00,02:10PM,Literary Theory:EthicsReading,1.0
110,"","","",Hochman M-T-W-Th-F11:00 ELIOT 207,10136,Y01,FREN,"","",First Year French,1.0
110,"","","",Hochman M-T-W-Th-F12:00 ELIOT 207,10137,Y02,FREN,"","",First Year French,1.0
110,"","","",Khan M-T-W-Th-F12:00 ELIOT 216,10138,Y03,FREN,"","",First Year French,1.0
210,M-W-F,Delehanty,VOLLUM,126,10139,Y01,FREN,10:50,10:00AM,Second Year French,1.0
210,M-W-F,Berkvam,VOLLUM,302,10140,Y02,FREN,11:50,11:00AM,Second Year French,1.0
210,M-W-F,Berkvam,VOLLUM,302,10141,Y03,FREN,12:50,12:00PM,Second Year French,1.0
161,T-Th,Ondrizek,ART,DRAW,10459,F02,ART,11:50,09:00AM,Introductory Drawing,0.5
320,M-W-F,Khan,VOLLUM,118,10142,Y,FREN,11:50,11:00AM,Stylistics and Composition,1.0
332,T-Th,Berkvam,VOLLUM,302,10495,F,FREN,02:30,01:10PM,Lit and Society (16th Century),1.0
334,T-Th,Berkvam,VOLLUM,302,20493,S,FREN,02:30,01:10PM,Lit and Society (18th Century),1.0
341,M-W,Khan,LIB,203,20494,S,FREN,04:30,03:10PM,Early Modern French Narrative,1.0
351,T-Th,Delehanty,VOLLUM,118,20495,S,FREN,04:00,02:40PM,17th Cent French Drama,1.0
381,M-W-F,Hochman,VOLLUM,302,20496,S,FREN,03:00,02:10PM,20th C French Poetry and Poetics,1.0
382,T-Th,Khan,VOLLUM,309,10496,F,FREN,04:00,02:40PM,20th Century French Theatre,1.0
451,M-W,Hochman,VOLLUM,118,10497,F,FREN,04:30,03:10PM,Seminar:Uses of Literature,1.0
110,"","","",Irmscher M-T-W-Th-F11:00 ELIOT 414,10143,Y01,GER,"","",Frst Yr German:A Foundation,1.0
110,"","","",Irmscher M-T-W-Th-F12:00 ELIOT 414,10397,Y02,GER,"","",Frst Yr German:A Foundation,1.0
162,T-Th,Ondrizek,ART,DRAW,20465,S,ART,11:50,09:00AM,Figure Drawing,0.5
220,M-W-F,Gokberk,VOLLUM,110,10145,Y,GER,02:00,01:10PM,Secnd Yr Ger:CultralPerspctvs,1.0
311,T-Th,Mieszkowski,ELIOT,419,10498,F,GER,02:30,01:10PM,Adv Conversation and Writing,1.0
312,T-Th,Irmscher,ELIOT,419,20499,S,GER,04:00,02:40PM,Advancd Conversation and Writing,1.0
321,M-W,Gokberk,VOLLUM,116,20497,S,GER,04:30,03:10PM,Modernism: Berlin,1.0
335,Th,Gokberk,ELIOT,419,20502,S,GER,09:30,06:40PM,Contemporary German Prose,1.0
341,M-W,Rudolf,ELIOT,419,10501,F,GER,04:30,03:10PM,Modern German Theatre,1.0
391,T-Th,Irmscher,ELIOT,414,10499,F,GER,04:00,02:40PM,German Thought Postmodrn Era,1.0
392,W,Mieszkowski,ELIOT,414,20500,S,GER,09:00,06:10PM,German Theory II: Body Media,1.0
110,"","","",Nicholson M-T-W-Th-F11:00 VOLLUM 309,10146,Y,GRK,"","",First Year Greek,1.0
210,M-T-W-Th,Wolfe,VOLLUM,234,10147,Y,GRK,02:00,01:10PM,Second Year Greek,1.0
164,M-W,Knutson,ART,PRINT,20466,S,ART,04:00,01:10PM,Printmaking,0.5
311,T-Th,Tron,VOLLUM,134,10487,F,GRK,05:30,04:10PM,Advanced Greek,1.0
312,T-Th,Nicholson,VOLLUM,134,20485,S,GRK,10:20,09:00AM,Advanced Greek,1.0
220,M-W-F,Fix,ELIOT,414,20628,S,HIST,02:00,01:10PM,Late Imperial China,1.0
221,M-W-F,Fix,ELIOT,414,10643,F,HIST,10:50,10:00AM,Modern China,1.0
275,M-W,Dirks,VOLLUM,110,10644,F,HIST,04:30,03:10PM,Cultr and Society 19 CentAmerca,1.0
276,M-W,Dirks,VOLLUM,110,20629,S,HIST,04:30,03:10PM,Culture and Society 20 Cent Amer,1.0
281,M-W-F,McCalla,ELIOT,314,10784,F,HIST,11:50,11:00AM,Introduction to Judaism,1.0
308,M-W-F,Segel,VOLLUM,120,10645,F01,HIST,02:00,01:10PM,Spcl Tops: Vietnam War,1.0
308,M-W-F,Segel,VOLLUM,120,10646,F02,HIST,03:00,02:10PM,Spcl Tops: Vietnam War,1.0
322,M-W-F,Fix,ELIOT,414,10647,F,HIST,02:00,01:10PM,Subaltern Stds Historiography,1.0
201,T-Th,Diebold,LIB,41,10453,F,ART,10:20,09:00AM,Introduction to Art History,1.0
325,T-Th,Fix,ELIOT,405,20630,S,HIST,02:30,01:10PM,The Family in China and Japan,1.0
335,T-Th,Sacks,VOLLUM,118,10648,F,HIST,11:50,10:30AM,Devel of Britain 1700-1830,1.0
343,T-Th,Mueller,WINCH,CPHT,20631,S01,HIST,11:50,10:30AM,The Third Reich,1.0
343,T-Th,Mueller,VOLLUM,120,20632,S02,HIST,02:30,01:10PM,The Third Reich,1.0
344,T-Th,Smith,PSYCH,103,20633,S01,HIST,11:50,10:30AM,The Russian Revolution,1.0
344,T-Th,Smith,PSYCH,103,20634,S02,HIST,04:00,02:40PM,The Russian Revolution,1.0
345,T-Th,Mueller,ELIOT,405,10649,F,HIST,02:30,01:10PM,"Weimar:State,Society and Culture",1.0
352,M-W-F,Breen,LIB,203,10653,F,HIST,03:00,02:10PM,Old Regime France 1600-1750,1.0
356,M-W-F,Breen,LIB,203,20640,S,HIST,03:00,02:10PM,The French Enlightenment,1.0
364,M-W,Iaccarino,VOLLUM,234,20641,S,HIST,04:30,03:10PM,Civil War and Reconstruction,1.0
201,M-W,Diebold,LIB,41,20461,S01,ART,04:30,03:10PM,Introduction to Art History,1.0
367,T-Th,Dirks,ELIOT,414,20635,S01,HIST,02:30,01:10PM,Gender and History,1.0
367,T-Th,Dirks,ELIOT,414,20636,S02,HIST,04:00,02:40PM,Gender and History,1.0
369,M-W,Iaccarino,VOLLUM,126,10650,F,HIST,04:30,03:10PM,American Slavery,1.0
384,M-W,Garrett,VOLLUM,228,20637,S01,HIST,04:30,03:10PM,Mexico: Indepdence toRevolutn,1.0
384,T-Th,Garrett,VOLLUM,228,20638,S02,HIST,10:20,09:00AM,Mexico: Indepdence toRevolutn,1.0
386,T-Th,Garrett,VOLLUM,228,10651,F,HIST,10:20,09:00AM,Mexico and the Spanish Conquest,1.0
386,T-Th,Garrett,VOLLUM,134,10800,F02,HIST,11:50,10:30AM,Mexico and the Spanish Conquest,1.0
393,M-W,Kelly,VOLLUM,120,10490,F,HIST,04:30,03:10PM,Ancient History: Rome,1.0
394,M-W,Kelly,VOLLUM,120,20489,S,HIST,04:30,03:10PM,Specl Topics in Roman History,1.0
411,T-Th,Dirks,ELIOT,123,10652,F,HIST,04:00,02:40PM,Jun Sem: Depression Era U.S.,1.0
211,T-Th,Stasch,VOLLUM,116,10579,F03,ANTH,11:50,10:30AM,Introduction to Anthropology,1.0
201,T-Th,Diebold,LIB,41,20462,S02,ART,11:50,10:30AM,Introduction to Art History,1.0
412,T-Th,Sacks,VOLLUM,134,20639,S,HIST,11:50,10:30AM,"Sem: Comty, Auth, Cult15-1700",1.0
